,word1,word2,freq
914,불꽃,손상,2895
915,손상,장소,2895
916,손상,초기,2894
917,고체,초기,2894
918,손상,추가,2894
919,손상,스파크,2893
920,장소,화재,2892
921,고체,축적,2890
922,손상,압력,2890
923,상승,손상,2890
924,손상,통풍,2890
925,손상,폭발력,2889
926,건물,손상,2889
927,마이크론,피해,2888
928,마이크론,밀폐,2888
929,분진,한도,2888
930,압력,피해,2884
931,통풍,화재,2883
932,상승,피해,2880
933,건물,피해,2878
934,폭발력,피해,2878
935,가스,적용,2873
936,손상,충격파,2873
937,밀폐,통풍,2872
938,가스,예측,2871
939,가연성,적용,2870
940,가연성,예측,2870
941,방출,접촉,2870
942,건물,공기,2869
943,공기,폭발력,2868
944,분진,분해,2867
945,기계,손상,2864
946,손상,차로,2863
947,가스,방법,2863
948,장소,초기,2861
949,샘플,설비,2861
950,충격파,피해,2861
951,초기,추가,2860
952,고체,마이크론,2859
953,마이크론,혼합물,2859
954,밀폐,축적,2858
955,초기,혼합물,2857
956,마이크론,불꽃,2854
957,공기,파괴,2853
958,마이크론,스파크,2853
959,마이크론,장소,2853
960,공기,충격파,2852
961,마이크론,통풍,2852
962,마이크론,축적,2851
963,손상,파괴,2851
964,차로,피해,2851
965,마이크론,입자,2851
966,손상,위력,2851
967,마이크론,확산,2851
968,압력,초기,2850
969,공장,샘플,2849
970,마이크론,하의,2849
971,불꽃,초기,2849
972,스파크,초기,2848
973,마이크론,손상,2847
974,가스,실용,2847
975,공기,차로,2847
976,가연성,미세,2847
977,가스,원칙,2847
978,마이크론,추가,2846
979,공기,기계,2845
980,가연성,방법,2844
981,마이크론,초기,2840
982,설비,수분,2840
983,밀폐,상승,2839
984,축적,피해,2839
985,마이크론,압력,2837
986,마이크론,상승,2836
987,공기,위력,2836
988,고체,압력,2835
989,건물,마이크론,2835
990,마이크론,폭발력,2835
991,고체,상승,2835
992,밀폐,접촉,2834
993,가연성,실용,2832
994,가연성,원칙,2832
995,설비,영향,2831
996,공장,영향,2831
997,초기,통풍,2830
998,손상,연쇄반응,2830
999,독성,용기,2829
1000,공장,수분,2828
1001,고체,폭발력,2826
1002,건물,고체,2826
1003,축적,화재,2825
1004,밀폐,폭발력,2825
1005,옷가지,폭발,2824
1006,마이크론,충격파,2823
1007,건물,밀폐,2823
1008,상승,화재,2823
1009,공기,파우더,2822
1010,기계,피해,2822
1011,추가,혼합물,2822
1012,연쇄반응,피해,2816
1013,불꽃,추가,2816
1014,마이크론,차로,2813
1015,가스,정적,2813
1016,상승,초기,2813
1017,손상,입자,2813
1018,공기,연쇄반응,2813
1019,초기,폭발력,2812
1020,건물,초기,2812
1021,가스,진행,2812
1022,손상,확산,2812
1023,스파크,추가,2812
1024,가스,대전,2812
1025,가열,접촉,2811
1026,고체,충격파,2811
1027,가스,본질,2811
1028,고체,연소,2811
1029,밀폐,충격파,2810
1030,초기,충격파,2810
